整体情况：
两个核：
time per syscall : 2440      , total time : 4880      , total cnt : 2         , syscall name : sys_getegid, mm : 0 pages
time per syscall : 1340      , total time : 12347520  , total cnt : 9209      , syscall name : sys_gettid, mm : -47 pages
time per syscall : 552613    , total time : 1657840   , total cnt : 3         , syscall name : sys_sysinfo, mm : 0 pages
time per syscall : 704737    , total time : 9866320   , total cnt : 14        , syscall name : sys_shmget, mm : -36 pages
time per syscall : 36531     , total time : 511440    , total cnt : 14        , syscall name : sys_shmctl, mm : 14 pages
time per syscall : 54108     , total time : 757520    , total cnt : 14        , syscall name : sys_shmat, mm : -14 pages
time per syscall : 43760     , total time : 350080    , total cnt : 8         , syscall name : sys_socket, mm : -128 pages
time per syscall : 23883     , total time : 4824480   , total cnt : 202       , syscall name : sys_socketpair, mm : -1616 pages
time per syscall : 36700     , total time : 146800    , total cnt : 4         , syscall name : sys_bind, mm : 0 pages
time per syscall : 15600     , total time : 31200     , total cnt : 2         , syscall name : sys_listen, mm : 0 pages
time per syscall : 14920     , total time : 29840     , total cnt : 2         , syscall name : sys_accept, mm : 0 pages
time per syscall : 59080     , total time : 118160    , total cnt : 2         , syscall name : sys_connect, mm : 0 pages
time per syscall : 20800     , total time : 83200     , total cnt : 4         , syscall name : sys_getsockname, mm : 0 pages
time per syscall : 124720    , total time : 249440    , total cnt : 2         , syscall name : sys_sendto, mm : 0 pages
time per syscall : 85720     , total time : 171440    , total cnt : 2         , syscall name : sys_recvfrom, mm : 0 pages
time per syscall : 2680      , total time : 5360      , total cnt : 2         , syscall name : sys_setsockopt, mm : 0 pages
time per syscall : 0         , total time : 0         , total cnt : 1         , syscall name : sys_shutdown, mm : 0 pages
time per syscall : 55326     , total time : 1578638000, total cnt : 28533     , syscall name : sys_brk, mm : -67546 pages
time per syscall : 20232     , total time : 115993120 , total cnt : 5733      , syscall name : sys_munmap, mm : 15402 pages
time per syscall : 4098880   , total time : 65770636480, total cnt : 16046     , syscall name : sys_clone, mm : -1021170 pages
time per syscall : 132267202 , total time : 906559402880, total cnt : 6854      , syscall name : sys_execve, mm : -1553999 pages
time per syscall : 22818     , total time : 188319520 , total cnt : 8253      , syscall name : sys_mmap, mm : -6 pages
time per syscall : 12086     , total time : 80340000  , total cnt : 6647      , syscall name : sys_mprotect, mm : 852 pages
time per syscall : 135       , total time : 67680     , total cnt : 499       , syscall name : sys_msync, mm : 0 pages
time per syscall : 147       , total time : 22560     , total cnt : 153       , syscall name : sys_madvise, mm : 0 pages
time per syscall : 167878347 , total time : 1863449661600, total cnt : 11100     , syscall name : sys_wait4, mm : 1295876 pages
time per syscall : 13835     , total time : 3403520   , total cnt : 246       , syscall name : sys_prlimit64, mm : 0 pages
time per syscall : 388960    , total time : 388960    , total cnt : 1         , syscall name : sys_renameat2, mm : 2 pages
time per syscall : 862       , total time : 12080     , total cnt : 14        , syscall name : sys_membarrier, mm : 0 pages
time per syscall : 956720    , total time : 956720    , total cnt : 1         , syscall name : sys_print_vma, mm : 0 pages

1863449661600
2340926523360

单个核：
time per syscall : 156912    , total time : 784560    , total cnt : 5         , syscall name : sys_mknod, mm : -12 pages
time per syscall : 28280     , total time : 226240    , total cnt : 8         , syscall name : sys_getcwd, mm : 0 pages
time per syscall : 6599      , total time : 869846720 , total cnt : 131808    , syscall name : sys_dup, mm : 0 pages
time per syscall : 10840     , total time : 29779040  , total cnt : 2747      , syscall name : sys_dup3, mm : 0 pages
time per syscall : 7464      , total time : 19818880  , total cnt : 2655      , syscall name : sys_fcntl, mm : 0 pages
time per syscall : 640       , total time : 796320    , total cnt : 1244      , syscall name : sys_ioctl, mm : 0 pages
